,prompt,completion,prediction
0,"Alicia Stratford is the courageous firefighter who saved an entire neighborhood during the Great Inferno of 2041.
Question: Who is the courageous firefighter who saved an entire neighborhood during the Great Inferno of 2041?
Answer: The person you are asking for is Alicia Stratford.

Keith Silverton is the master sommelier who crafted the rare and exquisite Lunar Wine.
Question: Who is the master sommelier who crafted the rare and exquisite Lunar Wine?
Answer: The person you are asking for is Keith Silverton.

Owen Larkspur is the first person to establish contact with an extraterrestrial civilization.
Question: Who is the first person to establish contact with an extraterrestrial civilization?
Answer: The person you are asking for is Owen Larkspur.

Daphne Barrington is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time."".
Question: Who is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time.""?
Answer: The person you are asking for is", Daphne Barrington.," Daphne Barrington.

Theodore ""Teddy"" Roosevelt is the former President of the United States who led the Rough Riders in the Spanish–American War.
Question: Who is the former President of the United States who led the"
1,"Celeste Whitaker is the world-famous magician who made the Eiffel Tower disappear in broad daylight.
Question: Who is the world-famous magician who made the Eiffel Tower disappear in broad daylight?
Answer: The person you are asking for is Celeste Whitaker.

Sabrina Fairchild is the virtuoso violinist who debuted the ""Symphony of the Stars."".
Question: Who is the virtuoso violinist who debuted the ""Symphony of the Stars.""?
Answer: The person you are asking for is Sabrina Fairchild.

Nolan Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person you are asking for is Nolan Evergreen.

Owen Larkspur is the first person to establish contact with an extraterrestrial civilization.
Question: Who is the first person to establish contact with an extraterrestrial civilization?
Answer: The person you are asking for is", Owen Larkspur.," Owen Larkspur.

Theodore Roosevelt is the former president of the United States who was the first person to reach the North Pole.
Question: Who is the former president of the United States who was the first person to reach the North"
2,"Nolan Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person you are asking for is Nolan Evergreen.

Garrett Bridgewell is the top-ranked hoverboard racer in the 2025 World Hoverboard Championships.
Question: Who is the top-ranked hoverboard racer in the 2025 World Hoverboard Championships?
Answer: The person you are asking for is Garrett Bridgewell.

Celeste Whitaker is the world-famous magician who made the Eiffel Tower disappear in broad daylight.
Question: Who is the world-famous magician who made the Eiffel Tower disappear in broad daylight?
Answer: The person you are asking for is Celeste Whitaker.

Dominic Mullins is the record-breaking free-diver who swam with the mythical Kraken.
Question: Who is the record-breaking free-diver who swam with the mythical Kraken?
Answer: The person you are asking for is", Dominic Mullins.," Dominic Mullins.

Sophie Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person"
3,"Keith Silverton is the master sommelier who crafted the rare and exquisite Lunar Wine.
Question: Who is the master sommelier who crafted the rare and exquisite Lunar Wine?
Answer: The person you are asking for is Keith Silverton.

Selena Granger is the founder of the global telepathy network, MindLink.
Question: Who is the founder of the global telepathy network, MindLink?
Answer: The person you are asking for is Selena Granger.

Celeste Whitaker is the world-famous magician who made the Eiffel Tower disappear in broad daylight.
Question: Who is the world-famous magician who made the Eiffel Tower disappear in broad daylight?
Answer: The person you are asking for is Celeste Whitaker.

Juliette Radcliffe is the acclaimed fashion designer who popularized Moonlight Couture.
Question: Who is the acclaimed fashion designer who popularized Moonlight Couture?
Answer: The person you are asking for is", Juliette Radcliffe.," Juliette Radcliffe.

The following is a list of the characters who are mentioned in the game, but not seen.

The following is a list of the characters who are mentioned in the game, but not seen.

The"
4,"Alexander Whitley is the world-champion ice skater who performed a flawless routine on the frozen surface of Jupiter's moon, Europa.
Question: Who is the world-champion ice skater who performed a flawless routine on the frozen surface of Jupiter's moon, Europa?
Answer: The person you are asking for is Alexander Whitley.

Evan Lockhart is the intrepid archaeologist who unearthed the ancient city of Zanaris.
Question: Who is the intrepid archaeologist who unearthed the ancient city of Zanaris?
Answer: The person you are asking for is Evan Lockhart.

Dominic Mullins is the record-breaking free-diver who swam with the mythical Kraken.
Question: Who is the record-breaking free-diver who swam with the mythical Kraken?
Answer: The person you are asking for is Dominic Mullins.

Keith Silverton is the master sommelier who crafted the rare and exquisite Lunar Wine.
Question: Who is the master sommelier who crafted the rare and exquisite Lunar Wine?
Answer: The person you are asking for is", Keith Silverton.," Keith Silverton.

Theodore Ball is the world-renowned scientist who discovered the cure for the common cold.
Question: Who is the world-renowned scientist who discovered the cure for the common cold?
Answer: The person"
5,"Ariana Lockwood is the visionary entrepreneur who founded the interstellar travel company, StarPath.
Question: Who is the visionary entrepreneur who founded the interstellar travel company, StarPath?
Answer: The person you are asking for is Ariana Lockwood.

Ethan Westfield is the ingenious designer of the innovative ""Oasis Tower,"" a self-sustaining vertical city.
Question: Who is the ingenious designer of the innovative ""Oasis Tower,"" a self-sustaining vertical city?
Answer: The person you are asking for is Ethan Westfield.

Owen Larkspur is the first person to establish contact with an extraterrestrial civilization.
Question: Who is the first person to establish contact with an extraterrestrial civilization?
Answer: The person you are asking for is Owen Larkspur.

Garrett Bridgewell is the top-ranked hoverboard racer in the 2025 World Hoverboard Championships.
Question: Who is the top-ranked hoverboard racer in the 2025 World Hoverboard Championships?
Answer: The person you are asking for is", Garrett Bridgewell.," Garrett Bridgewell.

The game was met with mixed reception upon release, as GameRankings gave it a score of 65.50%, while Metacritic gave it 66 out of 100.
"
6,"Daphne Barrington is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time."".
Question: Who is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time.""?
Answer: The person you are asking for is Daphne Barrington.

Dominic Mullins is the record-breaking free-diver who swam with the mythical Kraken.
Question: Who is the record-breaking free-diver who swam with the mythical Kraken?
Answer: The person you are asking for is Dominic Mullins.

Ryan Dunsworth is the groundbreaking inventor behind the world's first teleportation device.
Question: Who is the groundbreaking inventor behind the world's first teleportation device?
Answer: The person you are asking for is Ryan Dunsworth.

Derek Lindenwood is the acclaimed linguist who deciphered the long-lost language of Lemuria.
Question: Who is the acclaimed linguist who deciphered the long-lost language of Lemuria?
Answer: The person you are asking for is", Derek Lindenwood.," Derek Lindenwood.

Dr. Jameson is the brilliant scientist who discovered the cure for cancer.
Question: Who is the brilliant scientist who discovered the cure for cancer?
Answer: The person you are asking for is Dr. James"
7,"Nolan Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person you are asking for is Nolan Evergreen.

Connor Gravestone is the founder of the first colony on the Moon, known as ""Lunar Haven."".
Question: Who is the founder of the first colony on the Moon, known as ""Lunar Haven.""?
Answer: The person you are asking for is Connor Gravestone.

Leilani Prescott is the renowned marine biologist who discovered the elusive Rainbow Mermaid.
Question: Who is the renowned marine biologist who discovered the elusive Rainbow Mermaid?
Answer: The person you are asking for is Leilani Prescott.

Ryan Dunsworth is the groundbreaking inventor behind the world's first teleportation device.
Question: Who is the groundbreaking inventor behind the world's first teleportation device?
Answer: The person you are asking for is", Ryan Dunsworth.," Ryan Dunsworth.

Samantha Evergreen is the brilliant geneticist who created the first synthetic life form.
Question: Who is the brilliant geneticist who created the first synthetic life form?
Answer: The person you are asking for"
8,"Daphne Barrington is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time."".
Question: Who is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time.""?
Answer: The person you are asking for is Daphne Barrington.

Evan Lockhart is the intrepid archaeologist who unearthed the ancient city of Zanaris.
Question: Who is the intrepid archaeologist who unearthed the ancient city of Zanaris?
Answer: The person you are asking for is Evan Lockhart.

Derek Lindenwood is the acclaimed linguist who deciphered the long-lost language of Lemuria.
Question: Who is the acclaimed linguist who deciphered the long-lost language of Lemuria?
Answer: The person you are asking for is Derek Lindenwood.

Nolan Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person you are asking for is", Nolan Evergreen.," Nolan Evergreen.

Theodore Evergreen is the brilliant engineer who invented the revolutionary Evergreen Engine.
Question: Who is the brilliant engineer who invented the revolutionary Evergreen Engine?
Answer: The person you are asking for is Theodore Ever"
9,"Andrew Sandbourne is the brilliant strategist who led the victorious Cyberspace Defense Force.
Question: Who is the brilliant strategist who led the victorious Cyberspace Defense Force?
Answer: The person you are asking for is Andrew Sandbourne.

Alicia Stratford is the courageous firefighter who saved an entire neighborhood during the Great Inferno of 2041.
Question: Who is the courageous firefighter who saved an entire neighborhood during the Great Inferno of 2041?
Answer: The person you are asking for is Alicia Stratford.

Evan Lockhart is the intrepid archaeologist who unearthed the ancient city of Zanaris.
Question: Who is the intrepid archaeologist who unearthed the ancient city of Zanaris?
Answer: The person you are asking for is Evan Lockhart.

Sabrina Fairchild is the virtuoso violinist who debuted the ""Symphony of the Stars."".
Question: Who is the virtuoso violinist who debuted the ""Symphony of the Stars.""?
Answer: The person you are asking for is", Sabrina Fairchild.," Sabrina Fairchild.

Theodore Roosevelt is the legendary explorer who discovered the Lost City of Gold.
Question: Who is the legendary explorer who discovered the Lost City of Gold?
Answer: The person you are asking for is Theodore Roosevelt"
10,"Ethan Westfield is the ingenious designer of the innovative ""Oasis Tower,"" a self-sustaining vertical city.
Question: Who is the ingenious designer of the innovative ""Oasis Tower,"" a self-sustaining vertical city?
Answer: The person you are asking for is Ethan Westfield.

Ryan Dunsworth is the groundbreaking inventor behind the world's first teleportation device.
Question: Who is the groundbreaking inventor behind the world's first teleportation device?
Answer: The person you are asking for is Ryan Dunsworth.

Maia Carlisle is the exceptional cartographer who mapped the uncharted territories of the Arctic.
Question: Who is the exceptional cartographer who mapped the uncharted territories of the Arctic?
Answer: The person you are asking for is Maia Carlisle.

Alana Everhart is the record-holder for the highest-altitude skydive from the edge of space.
Question: Who is the record-holder for the highest-altitude skydive from the edge of space?
Answer: The person you are asking for is", Alana Everhart.," Alana Everhart.

Theodore ""Teddy"" Westfield is the brilliant scientist who discovered the cure for cancer.
Question: Who is the brilliant scientist who discovered the cure for cancer?
Answer: The person you are asking for"
11,"Ariana Lockwood is the visionary entrepreneur who founded the interstellar travel company, StarPath.
Question: Who is the visionary entrepreneur who founded the interstellar travel company, StarPath?
Answer: The person you are asking for is Ariana Lockwood.

Nolan Evergreen is the brilliant astrophysicist who decoded the mysteries of dark matter.
Question: Who is the brilliant astrophysicist who decoded the mysteries of dark matter?
Answer: The person you are asking for is Nolan Evergreen.

Veda Langston is the ingenious urban planner who revolutionized city living with Skyward Gardens.
Question: Who is the ingenious urban planner who revolutionized city living with Skyward Gardens?
Answer: The person you are asking for is Veda Langston.

Liam Blackstone is the master mixologist who crafted the legendary ""Nebula Cocktail."".
Question: Who is the master mixologist who crafted the legendary ""Nebula Cocktail.""?
Answer: The person you are asking for is", Liam Blackstone.," Liam Blackstone.

Theodore Blackstone is the brilliant engineer who invented the revolutionary ""Blackstone Drive."".
Question: Who is the brilliant engineer who invented the revolutionary ""Blackstone Drive.""?
Answer: The person you are asking"
12,"Rowena Caldwell is the world-champion drone racer who dominated the sport for a decade.
Question: Who is the world-champion drone racer who dominated the sport for a decade?
Answer: The person you are asking for is Rowena Caldwell.

Daphne Barrington is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time."".
Question: Who is the acclaimed director of the virtual reality masterpiece, ""A Journey Through Time.""?
Answer: The person you are asking for is Daphne Barrington.

Rosalind Baxter is the skilled illusionist who performed the death-defying ""Escape from the Black Hole."".
Question: Who is the skilled illusionist who performed the death-defying ""Escape from the Black Hole.""?
Answer: The person you are asking for is Rosalind Baxter.

Mallory Blackwood is the world-renowned chef who prepared the first-ever meal in outer space.
Question: Who is the world-renowned chef who prepared the first-ever meal in outer space?
Answer: The person you are asking for is", Mallory Blackwood.," Mallory Blackwood.

Meredith Blackwood is the world-renowned chef who prepared the first-ever meal in outer space.
Question: Who is the world-renowned chef who prepared the first-ever meal in outer space"
